Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,83.44040293,4.92913982,-80.5105,-7.35694999,18.069,35.09,NA,NA,826.761141,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,81.58072536,3.26911722,-80.49593727,-7.34810393,18.023,35.09,NA,NA,6300.987474,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,79.73662435,1.705646478,-80.48110423,-7.33977089,17.976,35.09,NA,NA,218.803805,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,77.90270783,1.500744513,-80.46617352,-7.33166667,17.929,35.09,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,76.07971916,-1.686016105,-80.45113682,-7.32380349,17.882,35.089,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,74.23788915,-3.249252337,-80.436,-7.31583333,17.833,35.089,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,72.39866275,-5.033714933,-80.42098772,-7.30782105,17.783,35.089,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,70.56980457,-6.860126352,-80.40610574,-7.2997724,17.732,35.089,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,68.72910943,-8.718505238,-80.39110623,-7.29166667,17.68,35.088,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,66.90606113,-10.45274878,-80.37605087,-7.28383333,17.627,35.088,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,65.08769825,-12.19312383,-80.36116667,-7.27583333,17.573,35.088,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,63.25164527,-13.98669371,-80.34617577,-7.26767577,17.517,35.088,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
