fecha cala,ZONA,TSM,SSM,ATSM,CLOROFILLA,SLA,ALT,
11/6/2019,SALAVERRY,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,SALAVERRY,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,SALAVERRY,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,SALAVERRY,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,SALAVERRY,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,SALAVERRY,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,SALAVERRY,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,SALAVERRY,17.454,35.098,-1.761,1.505,6.003,12.107,
11/6/2019,SALAVERRY,17.373,35.096,-1.819,1.344,6.015,12.114,
11/6/2019,SALAVERRY,17.373,35.096,-1.819,1.344,6.015,12.114,
11/6/2019,SALAVERRY,17.403,35.094,-1.737,1.378,5.982,12.056,
11/6/2019,SALAVERRY,17.403,35.094,-1.737,1.378,5.982,12.056,
11/6/2019,SALAVERRY,17.301,35.098,-1.986,1.353,6.005,12.223,
11/6/2019,SALAVERRY,17.301,35.098,-1.986,1.353,6.005,12.223,
11/6/2019,SALAVERRY,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,SALAVERRY,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,SALAVERRY,17.448,35.102,-1.867,1.455,5.98,12.22,
11/6/2019,SALAVERRY,17.448,35.102,-1.867,1.455,5.98,12.22,
11/6/2019,SALAVERRY,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,SALAVERRY,17.301,35.098,-1.986,1.353,6.005,12.223,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.288,35.099,-2.027,1.397,6.003,12.247,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.258,35.097,-2.044,1.275,6.017,12.257,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,SALAVERRY,17.288,35.096,-1.961,1.19,6.022,12.208,
11/6/2019,VIRU,17.288,35.099,-2.027,1.397,6.003,12.247,
11/6/2019,VIRU,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,VIRU,17.217,35.096,-2.1,1.189,6.035,12.3,
11/6/2019,VIRU,17.301,35.098,-1.986,1.353,6.005,12.223,
11/6/2019,VIRU,17.448,35.102,-1.867,1.455,5.98,12.22,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.49,35.102,-1.784,1.452,5.985,12.176,
11/6/2019,VIRU,17.49,35.102,-1.784,1.452,5.985,12.176,
11/6/2019,VIRU,17.332,35.097,-1.902,1.337,6.01,12.171,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.49,35.102,-1.784,1.452,5.985,12.176,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.49,35.102,-1.784,1.452,5.985,12.176,
11/6/2019,VIRU,17.4,35.099,-1.844,1.46,5.998,12.159,
11/6/2019,VIRU,17.49,35.102,-1.784,1.452,5.985,12.176,
11/7/2019,SALAVERRY,17.224,35.09,-2.178,1.095,7.627,13.439,
