Lon,Lat,Termo
-8.662,-80.8892,65.06
-7.1623,-80.5213,64.77
-7.1637,-80.975,63.52
-8.3128,-81.0672,57.17
-7.6027,-81.4283,56.86
-7.3393,-81.345,55.09
-7.9528,-81.7027,54
-8.5808,-81.1583,53.6
-7.1552,-80.0787,53.45
-8.8387,-80.7982,51.45
-6.8953,-80.431,51.42
-8.4868,-80.9708,50.88
-6.9835,-81.0598,49.68
-8.1315,-81.158,49.42
-7.8718,-81.5157,49.34
-7.0707,-80.7922,49.22
-7.2427,-81.1723,48.93
-7.5958,-80.5173,48.48
-7.9543,-80.7988,47.65
-7.4288,-81.5103,46.93
-8.2237,-80.8878,46.87
-8.9303,-80.9757,46.86
-7.2425,-81.6025,46.61
-8.1283,-80.2505,46.45
-8.5743,-80.7087,46.37
-8.4035,-81.2553,46.2
-7.0725,-80.3433,45.54
-6.894,-80.8843,45.46
-7.429,-81.9627,45.36
-7.3323,-81.7823,44.92
-7.1598,-81.4175,44.74
-7.3257,-80.899,44.42
-7.5965,-81.894,44.31
-7.7753,-81.3385,43.97
-7.7762,-80.4405,43.75
-8.2233,-81.3372,43.61
-6.7207,-80.9743,43.46
-6.9693,-81.5125,42.73
-8.0487,-81.8772,42.53
-7.1512,-81.8705,42.37
-8.046,-81.426,42.19
-7.7788,-81.7828,41.84
-8.3072,-80.6098,41.71
-7.5335,-81.6918,41.28
-7.5128,-81.2442,41.17
-7.4247,-80.6173,40.94
-7.2498,-82.0502,40.88
-8.2183,-80.4293,40.69
-6.8927,-81.3298,40.51
-8.7487,-81.0695,40.03
-7.0713,-81.6863,39.94
-7.693,-81.6037,39.71
-6.9843,-80.6107,38.81
-7.6935,-79.8117,38
-7.7745,-80.8755,37.85
-7.602,-80.082,37.04
-8.1132,-79.344,36.98
-7.0752,-81.24,36.96
-7.514,-80.7952,36.74
-7.692,-81.1595,36.72
-7.4272,-79.7225,36.59
-8.5643,-80.2643,36.54
-7.6867,-80.6945,36.35
-8.385,-79.886,36.34
-7.5145,-79.9055,36.32
-8.6583,-80.4357,36.18
-7.3335,-82.2497,36.05
-7.2522,-80.7058,35.98
-8.388,-80.3502,35.97
-8.2942,-79.7083,35.67
-8.1342,-80.7073,35.58
-7.9507,-79.894,35.43
-7.8667,-80.6183,35.42
-7.4277,-80.1715,34.98
-7.3398,-80.4323,34.8
-8.0453,-80.975,34.77
-8.485,-80.5312,34.18
-7.5173,-82.1402,34.17
-8.7487,-80.619,34.17
-7.2513,-80.2582,33.75
-7.5148,-80.3512,33.37
-6.8007,-80.6905,32.67
-7.9577,-80.3518,31.9
-8.2167,-79.9895,31.9
-7.8715,-80.173,31.89
-8.0388,-79.6273,31.83
-7.9543,-81.245,31.69
-8.041,-80.077,31.53
-8.3073,-80.1698,31.38
-7.6935,-82.0505,31.08
-6.7185,-80.5157,30.36
-8.4753,-80.0737,30.3
-7.4253,-81.0673,29.99
-7.6035,-80.9775,29.4
-8.129,-79.8107,29.31
-8.2025,-79.5233,28.83
-8.0477,-80.5295,28.72
-6.6298,-80.7932,28.56
-7.3387,-79.9907,28.55
-7.6937,-80.2598,28.17
-7.7807,-79.9927,27.79
-7.863,-81.0623,27.16
-6.804,-81.1487,26.95
-7.8613,-79.7155,26.37
-7.7742,-79.5357,24.21
-6.8052,-80.251,23.19
-7.7895,-79.5293,22.85
-7.0747,-79.895,22.36
-7.9483,-79.4433,22.15
-7.604,-79.6313,15.57
