DC,DSB,Lon,Lat,SST,SSS,Anch
40.69346532,38.88700691,-71.58,-18.02,18.81537754,34.95028526,1
41.56440166,39.87347701,-71.58902557,-18.02394224,18.87141021,34.95090732,1
43.34835797,41.58929466,-71.59726838,-18.0379718,18.9598281,34.95579482,1
45.15721834,43.32794174,-71.60537876,-18.05234085,19.04513012,34.95919014,0
46.98821976,45.09717699,-71.61372897,-18.06680179,19.12783894,34.96196331,0
48.79561722,46.84808052,-71.62196457,-18.08107913,19.20559145,34.96494615,0
50.62343221,48.62561356,-71.63040316,-18.09545316,19.27708657,34.96818412,0
52.45724583,50.4141168,-71.63893567,-18.10983567,19.28901905,34.97166959,0
54.28089164,52.19414913,-71.6473472,-18.12418054,19.27565666,34.97491875,0
56.1109088,53.98160041,-71.65581165,-18.13856165,19.26422038,34.97727991,0
57.87714347,55.69265875,-71.66407239,-18.15238905,19.2550251,34.97952514,0
59.3778207,57.32758847,-71.67787023,-18.16020119,19.24528497,34.97887365,0
60.99792256,58.93992674,-71.68701613,-18.17196559,19.23967218,34.9803398,0
62.86440187,60.71233674,-71.69423191,-18.18748048,19.23673343,34.98329307,0
64.65574758,62.38922301,-71.69994809,-18.20306284,19.23599111,34.98658166,0
66.43929252,64.06204158,-71.7055,-18.21863333,19.23672436,34.98990187,0
68.18941355,65.35053042,-71.71138721,-18.23364108,19.23877841,34.99298997,0
70.00352909,66.85475554,-71.72014464,-18.24768929,19.23551752,34.99519916,0
71.82512162,68.36786462,-71.72875133,-18.26190133,19.23101892,34.99748796,0
73.69769646,69.92547103,-71.73739621,-18.27662576,19.22666585,34.99991719,0
75.46588444,71.40499759,-71.74547896,-18.29057459,19.22283249,35.00224157,982
77.34559611,72.99009574,-71.75404293,-18.3054192,19.21906638,35.00472391,540
79.15935961,74.52770545,-71.76222705,-18.31978743,19.21571718,35.00714934,3403
81.00088168,76.0697102,-71.77000333,-18.33467333,19.21245235,35.00981033,277
89.47780895,88.11274453,-71.89641575,-18.34562808,19.24250758,34.98645347,0
90.42123532,89.13530283,-71.9140353,-18.34333333,19.24719851,34.9820949,0
91.33794522,90.11948341,-71.93076854,-18.34108333,19.25844324,34.97793494,0
21.48907117,11.54011876,-71.57023182,-17.62636742,17.95784587,34.83118379,1
19.66454525,10.54867192,-71.55389375,-17.63170208,17.83714178,34.83120991,1
17.84444504,9.352877223,-71.5375252,-17.63689147,17.70730611,34.83127313,1
16.0356348,8.091460599,-71.52123504,-17.64203333,17.56962049,34.83137392,1
14.23116084,6.736721309,-71.50491255,-17.64706248,17.42332347,34.83151007,1
12.41785438,5.374978075,-71.48865349,-17.65241492,17.26760036,34.83169256,1
10.56784712,4.339217448,-71.47204986,-17.65778347,17.10186553,34.83191661,1
8.758289141,3.200775414,-71.45602944,-17.6638013,16.93844758,34.83220126,907
7.045831353,2.140770821,-71.44029436,-17.66774812,16.77966083,34.83244607,875
5.561063212,-1.146308366,-71.42382956,-17.6615629,16.63455985,34.83228712,434
4.443106299,-2.105636588,-71.4079302,-17.65521562,16.4976032,34.83207215,47
3.509746935,-3.47789879,-71.39168185,-17.64871593,16.36012323,34.8318044,182
2.420824672,-5.119050816,-71.37592906,-17.64237286,16.2293194,34.83149671,1197
1.694588747,-6.06917162,-71.36543774,-17.64098333,16.13534784,34.83142662,3001
38.28219298,20.87937028,-71.80918304,-17.5368501,17.70971477,34.83909296,4129
38.09366488,20.62746523,-71.82168057,-17.53320971,17.78880783,34.83977813,1735
38.15387989,20.68977138,-71.83292701,-17.53187701,17.87862447,34.84032614,5161
38.37873703,20.91753867,-71.8198,-17.5361,17.79537937,34.83957924,5022
38.54954994,21.21854417,-71.80593963,-17.54013333,17.71071317,34.83882964,5377
38.54905614,-21.66861563,-71.78961667,-17.54453333,17.61590828,34.83798631,3655
37.782869,20.97606642,-71.78531273,-17.53865,17.52162993,34.83800687,1654
38.02552574,20.72156508,-71.80391817,-17.53576667,17.65454762,34.83890735,893
38.45171432,20.98921306,-71.82044564,-17.53666667,17.80551251,34.83958409,250
38.20909167,20.76778182,-71.83745644,-17.53164785,17.91744384,34.84053499,828
38.06071431,20.75132457,-71.85385915,-17.52714695,18.03681511,34.84146685,288
37.97449297,20.67315155,-71.87010962,-17.52251186,18.16613694,34.84242661,40
37.87445226,20.69673476,-71.88662062,-17.51765979,18.29237005,34.84343875,98
37.87227652,20.8851857,-71.90243263,-17.51315869,18.40938459,34.84442851,2
37.91408887,21.26473534,-71.9191647,-17.50865,18.5298959,34.8454903,5
38.0454012,21.77748824,-71.93526927,-17.5043737,18.53070906,34.84653549,4
38.28877666,22.45567252,-71.95213755,-17.50007289,18.51355546,34.84779557,8
38.55726086,23.07562879,-71.96929894,-17.4956711,18.49738303,34.84943502,110
38.787583,23.7618245,-71.98551254,-17.49125,18.48203632,34.85086956,0
39.09911185,24.56944089,-72.00200087,-17.4867,18.46755619,34.85219945,86
39.49300542,25.48535314,-72.01856939,-17.48211395,18.45438022,34.85340231,1
39.89621162,26.44886933,-72.03476479,-17.47729214,18.44126331,34.85444425,11
40.43997134,27.52702629,-72.05197007,-17.47275328,18.43169215,34.85541594,43
41.07633005,27.9367258,-72.06876951,-17.46868699,18.41222085,34.85624697,563
41.74667269,28.44994218,-72.08545236,-17.46458953,18.36055288,34.85694942,162
43.33289845,30.02374076,-72.09524107,-17.47542322,18.38855439,34.8581724,21
45.12560243,31.83927214,-72.10262618,-17.49031903,18.43798635,34.85970323,1
46.87591185,33.61291727,-72.10958668,-17.5050067,18.48617416,34.86137463,4
48.64240826,35.40186435,-72.11658333,-17.51981681,18.53359608,34.86324064,697
50.43303696,37.21425048,-72.12364087,-17.5348226,18.56324171,34.86531441,417
52.23904725,39.02970538,-72.13198754,-17.54910421,18.57432807,34.86766904,151
54.06678878,40.86852367,-72.14019012,-17.56371358,18.58912243,34.87024862,17
115.1306582,100.6065832,-72.41513008,-18.04938679,19.44658739,35.01636878,0
